status;duration;credit_history;purpose;amount;savings;employment_duration;installment_rate;personal_status_sex;other_debtors;present_residence;property;age;other_installment_plans;housing;number_credits;job;people_liable;telephone;foreign_worker;credit_risk
more than 200 DM or salary for at least 1 year;30;no credits taken or all credits paid back duly;furniture or equipment;2333;between 100 and 500 DM; more than  7 yrs; less than  20;male : married or widowed;none;1 between 4 yrs;building soc. savings agr. or life insurance;30;bank;rent;1;manager or self-empl. or highly qualif. employee;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;28;critical account or other credits elsewhere;car (new);7824;more than 1000 DM; less than  1 yr;20 between 25;male : married or widowed;guarantor; more than  7 yrs;unknown  or  no property;40;bank;for free;3-Feb;skilled employee or official;3 or more;yes;no;good
between 0 and 200 DM;18;critical account or other credits elsewhere;furniture or equipment;1445;more than 1000 DM;4 between 7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;building soc. savings agr. or life insurance;49;bank;rent;1;unskilled - resident;0 to 2;no;no;good
no checking account;24;no credits taken or all credits paid back duly;car (used);7721;more than 1000 DM; less than  1 yr; more than  35;female : non-single or male : single;none;1 between 4 yrs;car or other;30;none;rent;1;skilled employee or official;0 to 2;yes;yes;good
no checking account;21;no credits taken or all credits paid back duly;others;3763;more than 1000 DM;4 between 7 yrs;25 between 35;male : married or widowed;co-applicant;1 between 4 yrs;unknown  or  no property;24;none;rent;1;unskilled - resident;0 to 2;no;yes;good
less than 0 DM;18;no credits taken or all credits paid back duly;retraining;4439;unknown or no savings account; more than  7 yrs; more than  35;male : married or widowed;co-applicant; less than  1 yr;unknown  or  no property;33;bank;rent;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
no checking account;12;no credits taken or all credits paid back duly;furniture or equipment;1107;unknown or no savings account;1 between 4 yrs;25 between 35;male : married or widowed;none;1 between 4 yrs;unknown  or  no property;20;none;for free;1;manager or self-empl. or highly qualif. employee;3 or more;yes;no;good
less than 0 DM;15;no credits taken or all credits paid back duly;furniture or equipment;1444;more than 1000 DM; less than  1 yr; less than  20;male : married or widowed;none; less than  1 yr;car or other;23;none;rent;1;skilled employee or official;0 to 2;no;no;good
less than 0 DM;48;critical account or other credits elsewhere;others;12169;more than 1000 DM;unemployed; less than  20;male : married or widowed;co-applicant; more than  7 yrs;real estate;36;none;own;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;9;no credits taken or all credits paid back duly;furniture or equipment;2753;less than 100 DM; more than  7 yrs;20 between 25;male : married or widowed;co-applicant; more than  7 yrs;building soc. savings agr. or life insurance;35;none;rent;1;skilled employee or official;0 to 2;yes;no;good
between 0 and 200 DM;4;no credits taken or all credits paid back duly;others;1494;more than 1000 DM; less than  1 yr; more than  35;male : married or widowed;none;1 between 4 yrs;unknown  or  no property;29;none;rent;1;unskilled - resident;3 or more;no;yes;good
no checking account;24;critical account or other credits elsewhere;car (used);2828;between 100 and 500 DM;1 between 4 yrs; less than  20;male : married or widowed;none; more than  7 yrs;unknown  or  no property;22;stores;rent;1;skilled employee or official;0 to 2;yes;no;good
no checking account;24;critical account or other credits elsewhere;car (used);2483;between 100 and 500 DM;1 between 4 yrs; less than  20;male : married or widowed;none; more than  7 yrs;unknown  or  no property;22;stores;rent;1;skilled employee or official;0 to 2;yes;no;good
between 0 and 200 DM;6;all credits at this bank paid back duly;others;1299;unknown or no savings account;1 between 4 yrs; more than  35;male : married or widowed;none; less than  1 yr;unknown  or  no property;74;none;rent;5-Apr;unemployed or unskilled - non-resident;3 or more;no;yes;good
less than 0 DM;9;no credits taken or all credits paid back duly;others;1549;more than 1000 DM; less than  1 yr; less than  20;male : married or widowed;none;1 between 4 yrs;unknown  or  no property;35;none;rent;1;unemployed or unskilled - non-resident;0 to 2;no;no;good
between 0 and 200 DM;10;no credits taken or all credits paid back duly;others;3949;unknown or no savings account; less than  1 yr; more than  35;male : married or widowed;guarantor; less than  1 yr;car or other;37;none;rent;1;unskilled - resident;3 or more;no;no;good
more than 200 DM or salary for at least 1 year;10;no credits taken or all credits paid back duly;car (new);2901;more than 1000 DM; less than  1 yr; more than  35;female : non-single or male : single;none; more than  7 yrs;unknown  or  no property;31;none;for free;1;skilled employee or official;0 to 2;no;no;good
between 0 and 200 DM;6;no credits taken or all credits paid back duly;others;709;500 between 1000 DM; less than  1 yr;25 between 35;female : single;none;1 between 4 yrs;unknown  or  no property;27;none;rent;1;unemployed or unskilled - non-resident;0 to 2;no;yes;good
no checking account;47;no credits taken or all credits paid back duly;others;10722;unknown or no savings account; less than  1 yr; more than  35;female : non-single or male : single;none; less than  1 yr;unknown  or  no property;35;none;rent;1;unskilled - resident;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;10;no credits taken or all credits paid back duly;others;1287;more than 1000 DM; more than  7 yrs; less than  20;male : married or widowed;co-applicant;1 between 4 yrs;car or other;45;none;rent;1;unskilled - resident;0 to 2;no;yes;good
no checking account;18;critical account or other credits elsewhere;furniture or equipment;1940;unknown or no savings account; less than  1 yr;20 between 25;male : married or widowed;co-applicant; more than  7 yrs;real estate;36;bank;own;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
between 0 and 200 DM;30;all credits at this bank paid back duly;furniture or equipment;3656;more than 1000 DM; more than  7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;car or other;49;stores;rent;3-Feb;unskilled - resident;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;24;existing credits paid back duly till now;car (new);4679;unknown or no savings account;4 between 7 yrs;20 between 25;male : married or widowed;none;4 between 7 yrs;building soc. savings agr. or life insurance;35;none;rent;3-Feb;unskilled - resident;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;27;existing credits paid back duly till now;car (new);8613;500 between 1000 DM;1 between 4 yrs;25 between 35;male : married or widowed;none;1 between 4 yrs;building soc. savings agr. or life insurance;27;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;good
no checking account;18;no credits taken or all credits paid back duly;car (used);2659;500 between 1000 DM;1 between 4 yrs; less than  20;male : married or widowed;none;1 between 4 yrs;building soc. savings agr. or life insurance;28;none;rent;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;24;all credits at this bank paid back duly;furniture or equipment;1516;500 between 1000 DM;1 between 4 yrs; less than  20;female : non-single or male : single;none; less than  1 yr;unknown  or  no property;43;none;rent;3-Feb;unskilled - resident;0 to 2;no;no;good
no checking account;18;no credits taken or all credits paid back duly;others;4380;less than 100 DM;1 between 4 yrs;20 between 25;male : married or widowed;none; more than  7 yrs;building soc. savings agr. or life insurance;35;none;rent;1;unskilled - resident;3 or more;yes;no;good
more than 200 DM or salary for at least 1 year;14;existing credits paid back duly till now;others;802;unknown or no savings account;1 between 4 yrs; less than  20;male : married or widowed;none;1 between 4 yrs;building soc. savings agr. or life insurance;27;none;rent;3-Feb;unskilled - resident;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;21;no credits taken or all credits paid back duly;retraining;1572;500 between 1000 DM; more than  7 yrs; less than  20;female : non-single or male : single;none; more than  7 yrs;unknown  or  no property;36;bank;rent;1;unskilled - resident;0 to 2;no;no;good
less than 0 DM;48;critical account or other credits elsewhere;retraining;3566;less than 100 DM;4 between 7 yrs; less than  20;male : married or widowed;none;1 between 4 yrs;building soc. savings agr. or life insurance;30;none;rent;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;24;no credits taken or all credits paid back duly;furniture or equipment;1278;unknown or no savings account; more than  7 yrs; less than  20;male : married or widowed;none; less than  1 yr;unknown  or  no property;36;none;rent;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;6;delay in paying off in the past;furniture or equipment;426;unknown or no savings account; more than  7 yrs; less than  20;female : single;none; more than  7 yrs;building soc. savings agr. or life insurance;39;none;rent;1;unskilled - resident;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;39;no credits taken or all credits paid back duly;car (new);8588;less than 100 DM; more than  7 yrs; less than  20;male : married or widowed;none;1 between 4 yrs;building soc. savings agr. or life insurance;45;none;rent;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
no checking account;30;no credits taken or all credits paid back duly;car (new);3857;unknown or no savings account;1 between 4 yrs; less than  20;male : divorced or separated;none; more than  7 yrs;car or other;40;none;rent;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
less than 0 DM;12;no credits taken or all credits paid back duly;others;685;unknown or no savings account;4 between 7 yrs;25 between 35;female : single;none;4 between 7 yrs;building soc. savings agr. or life insurance;25;bank;rent;1;unskilled - resident;0 to 2;no;no;bad
no checking account;24;no credits taken or all credits paid back duly;furniture or equipment;1603;unknown or no savings account; more than  7 yrs; less than  20;female : non-single or male : single;none; more than  7 yrs;building soc. savings agr. or life insurance;55;none;rent;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;21;no credits taken or all credits paid back duly;car (used);2241;unknown or no savings account; more than  7 yrs; less than  20;male : married or widowed;none;1 between 4 yrs;unknown  or  no property;50;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;good
no checking account;24;no credits taken or all credits paid back duly;furniture or equipment;2384;unknown or no savings account; more than  7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;unknown  or  no property;64;bank;for free;1;unskilled - resident;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;4;no credits taken or all credits paid back duly;car (used);601;unknown or no savings account; less than  1 yr; more than  35;female : non-single or male : single;none;4 between 7 yrs;unknown  or  no property;23;none;for free;1;unskilled - resident;3 or more;no;no;good
more than 200 DM or salary for at least 1 year;39;no credits taken or all credits paid back duly;car (new);2569;between 100 and 500 DM;1 between 4 yrs; less than  20;male : married or widowed;none; more than  7 yrs;building soc. savings agr. or life insurance;24;none;rent;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;15;all credits at this bank paid back duly;furniture or equipment;1316;between 100 and 500 DM;1 between 4 yrs;25 between 35;female : single;none;1 between 4 yrs;car or other;47;none;rent;3-Feb;unskilled - resident;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;60;no credits taken or all credits paid back duly;others;10366;unknown or no savings account; more than  7 yrs;25 between 35;male : married or widowed;none; more than  7 yrs;car or other;42;none;rent;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;18;no credits taken or all credits paid back duly;retraining;1568;less than 100 DM;1 between 4 yrs;20 between 25;female : non-single or male : single;none; more than  7 yrs;car or other;24;none;for free;1;unskilled - resident;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;18;all credits at this bank paid back duly;furniture or equipment;629;between 100 and 500 DM; more than  7 yrs; less than  20;male : married or widowed;none;4 between 7 yrs;car or other;32;bank;rent;3-Feb;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;6;critical account or other credits elsewhere;furniture or equipment;1750;between 100 and 500 DM; more than  7 yrs;25 between 35;male : married or widowed;none; more than  7 yrs;car or other;45;bank;rent;1;unskilled - resident;3 or more;no;no;good
more than 200 DM or salary for at least 1 year;24;no credits taken or all credits paid back duly;car (new);3488;less than 100 DM;4 between 7 yrs;20 between 25;female : non-single or male : single;none; more than  7 yrs;building soc. savings agr. or life insurance;23;none;rent;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;18;all credits at this bank paid back duly;furniture or equipment;1800;unknown or no savings account;1 between 4 yrs; less than  20;male : married or widowed;none;1 between 4 yrs;building soc. savings agr. or life insurance;24;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;24;existing credits paid back duly till now;car (used);4151;less than 100 DM;1 between 4 yrs;25 between 35;male : married or widowed;none;4 between 7 yrs;car or other;35;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;good
less than 0 DM;15;no credits taken or all credits paid back duly;domestic appliances;2631;less than 100 DM;1 between 4 yrs;20 between 25;female : non-single or male : single;none;1 between 4 yrs;unknown  or  no property;25;none;rent;1;unskilled - resident;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;21;no credits taken or all credits paid back duly;car (new);5248;more than 1000 DM;1 between 4 yrs; more than  35;male : married or widowed;none;4 between 7 yrs;building soc. savings agr. or life insurance;26;none;rent;1;skilled employee or official;0 to 2;no;no;good
less than 0 DM;18;existing credits paid back duly till now;others;2899;more than 1000 DM; more than  7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;building soc. savings agr. or life insurance;43;none;rent;1;skilled employee or official;3 or more;no;no;good
less than 0 DM;18;existing credits paid back duly till now;domestic appliances;6204;unknown or no savings account;1 between 4 yrs;25 between 35;male : married or widowed;none; more than  7 yrs;unknown  or  no property;44;none;rent;1;unskilled - resident;3 or more;yes;no;good
more than 200 DM or salary for at least 1 year;12;no credits taken or all credits paid back duly;furniture or equipment;804;unknown or no savings account; more than  7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;building soc. savings agr. or life insurance;38;none;rent;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;36;no credits taken or all credits paid back duly;furniture or equipment;3595;unknown or no savings account; more than  7 yrs; less than  20;male : married or widowed;none;1 between 4 yrs;building soc. savings agr. or life insurance;28;none;rent;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;36;all credits at this bank paid back duly;car (new);5711;500 between 1000 DM; more than  7 yrs; less than  20;male : married or widowed;none;1 between 4 yrs;building soc. savings agr. or life insurance;38;none;rent;3-Feb;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
between 0 and 200 DM;15;no credits taken or all credits paid back duly;retraining;2687;unknown or no savings account;4 between 7 yrs;25 between 35;male : married or widowed;none; more than  7 yrs;car or other;26;none;for free;1;skilled employee or official;0 to 2;yes;no;good
no checking account;15;existing credits paid back duly till now;car (used);3643;unknown or no savings account; more than  7 yrs; more than  35;female : non-single or male : single;none; more than  7 yrs;car or other;27;none;rent;3-Feb;unskilled - resident;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;10;all credits at this bank paid back duly;car (used);2146;unknown or no savings account; less than  1 yr; more than  35;female : non-single or male : single;none;4 between 7 yrs;unknown  or  no property;23;none;for free;3-Feb;skilled employee or official;0 to 2;no;no;good
no checking account;10;no credits taken or all credits paid back duly;furniture or equipment;2315;unknown or no savings account; more than  7 yrs;20 between 25;male : married or widowed;none; more than  7 yrs;unknown  or  no property;52;none;rent;1;unskilled - resident;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;5;no credits taken or all credits paid back duly;retraining;3448;unknown or no savings account;4 between 7 yrs; more than  35;male : married or widowed;none; more than  7 yrs;unknown  or  no property;74;none;rent;1;unskilled - resident;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;15;no credits taken or all credits paid back duly;car (used);2708;unknown or no savings account; less than  1 yr;25 between 35;male : married or widowed;none;4 between 7 yrs;car or other;27;bank;rent;3-Feb;unskilled - resident;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;11;all credits at this bank paid back duly;others;1393;unknown or no savings account; less than  1 yr; less than  20;female : non-single or male : single;none; more than  7 yrs;building soc. savings agr. or life insurance;35;none;rent;3-Feb;manager or self-empl. or highly qualif. employee;0 to 2;no;no;good
between 0 and 200 DM;10;no credits taken or all credits paid back duly;car (used);1275;unknown or no savings account; less than  1 yr; less than  20;female : non-single or male : single;none;1 between 4 yrs;car or other;23;none;rent;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;9;no credits taken or all credits paid back duly;car (used);1313;unknown or no savings account; more than  7 yrs; more than  35;male : married or widowed;none; more than  7 yrs;building soc. savings agr. or life insurance;20;none;rent;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;12;no credits taken or all credits paid back duly;furniture or equipment;1493;unknown or no savings account; less than  1 yr; less than  20;female : non-single or male : single;none;4 between 7 yrs;building soc. savings agr. or life insurance;34;none;rent;1;skilled employee or official;3 or more;no;no;good
more than 200 DM or salary for at least 1 year;22;no credits taken or all credits paid back duly;furniture or equipment;2675;between 100 and 500 DM; more than  7 yrs;20 between 25;male : married or widowed;none; more than  7 yrs;building soc. savings agr. or life insurance;40;none;rent;1;skilled employee or official;0 to 2;no;no;good
less than 0 DM;9;no credits taken or all credits paid back duly;furniture or equipment;2118;unknown or no savings account;1 between 4 yrs;25 between 35;male : married or widowed;none;1 between 4 yrs;unknown  or  no property;37;none;rent;1;unskilled - resident;3 or more;no;no;good
more than 200 DM or salary for at least 1 year;36;no credits taken or all credits paid back duly;others;909;between 100 and 500 DM; more than  7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;car or other;36;none;rent;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;12;all credits at this bank paid back duly;car (used);1258;unknown or no savings account; less than  1 yr;25 between 35;female : non-single or male : single;none; more than  7 yrs;car or other;22;none;for free;3-Feb;unskilled - resident;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;15;critical account or other credits elsewhere;furniture or equipment;1569;less than 100 DM; more than  7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;building soc. savings agr. or life insurance;34;bank;rent;1;unskilled - resident;3 or more;no;no;good
more than 200 DM or salary for at least 1 year;6;no credits taken or all credits paid back duly;car (new);1236;between 100 and 500 DM;1 between 4 yrs;25 between 35;male : married or widowed;none; more than  7 yrs;car or other;50;none;for free;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;36;existing credits paid back duly till now;car (used);7678;between 100 and 500 DM;4 between 7 yrs;25 between 35;female : non-single or male : single;none; more than  7 yrs;building soc. savings agr. or life insurance;40;none;rent;3-Feb;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;6;no credits taken or all credits paid back duly;domestic appliances;660;between 100 and 500 DM;4 between 7 yrs;25 between 35;female : single;none; more than  7 yrs;unknown  or  no property;23;none;for free;1;unskilled - resident;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;24;no credits taken or all credits paid back duly;car (used);2835;between 100 and 500 DM; more than  7 yrs;20 between 25;male : married or widowed;none; more than  7 yrs;car or other;53;none;rent;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;24;no credits taken or all credits paid back duly;car (new);2670;unknown or no savings account; more than  7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;building soc. savings agr. or life insurance;35;none;rent;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;12;critical account or other credits elsewhere;vacation;3447;between 100 and 500 DM;1 between 4 yrs; less than  20;female : non-single or male : single;none;4 between 7 yrs;unknown  or  no property;35;none;rent;1;unskilled - resident;3 or more;no;no;good
more than 200 DM or salary for at least 1 year;15;no credits taken or all credits paid back duly;furniture or equipment;3568;unknown or no savings account; more than  7 yrs; less than  20;female : non-single or male : single;none;1 between 4 yrs;building soc. savings agr. or life insurance;54;bank;for free;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
less than 0 DM;21;all credits at this bank paid back duly;retraining;3652;unknown or no savings account;4 between 7 yrs;25 between 35;male : married or widowed;none;4 between 7 yrs;car or other;27;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;good
no checking account;24;no credits taken or all credits paid back duly;furniture or equipment;3660;unknown or no savings account;1 between 4 yrs;25 between 35;female : non-single or male : single;none; more than  7 yrs;building soc. savings agr. or life insurance;28;none;rent;1;skilled employee or official;0 to 2;no;no;good
between 0 and 200 DM;9;no credits taken or all credits paid back duly;furniture or equipment;1126;less than 100 DM; more than  7 yrs;25 between 35;male : divorced or separated;none; more than  7 yrs;unknown  or  no property;49;none;rent;1;skilled employee or official;0 to 2;no;no;good
between 0 and 200 DM;6;existing credits paid back duly till now;furniture or equipment;683;unknown or no savings account; less than  1 yr;25 between 35;female : non-single or male : single;none; less than  1 yr;car or other;29;bank;rent;1;skilled employee or official;0 to 2;no;no;good
between 0 and 200 DM;12;no credits taken or all credits paid back duly;car (used);2251;unknown or no savings account;1 between 4 yrs; more than  35;female : non-single or male : single;none;1 between 4 yrs;building soc. savings agr. or life insurance;46;none;rent;1;unskilled - resident;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;12;no credits taken or all credits paid back duly;car (new);4675;more than 1000 DM; less than  1 yr; more than  35;female : non-single or male : single;none; more than  7 yrs;building soc. savings agr. or life insurance;20;none;for free;1;skilled employee or official;0 to 2;no;no;good
less than 0 DM;21;existing credits paid back duly till now;others;2353;unknown or no savings account;1 between 4 yrs; more than  35;male : divorced or separated;none; more than  7 yrs;car or other;47;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;good
no checking account;21;no credits taken or all credits paid back duly;furniture or equipment;3357;500 between 1000 DM; less than  1 yr; less than  20;female : non-single or male : single;none;1 between 4 yrs;building soc. savings agr. or life insurance;29;bank;rent;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;6;no credits taken or all credits paid back duly;others;672;unknown or no savings account;unemployed; more than  35;female : non-single or male : single;none; more than  7 yrs;unknown  or  no property;54;none;rent;1;unemployed or unskilled - non-resident;0 to 2;yes;no;good
no checking account;6;all credits at this bank paid back duly;furniture or equipment;338;between 100 and 500 DM; more than  7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;building soc. savings agr. or life insurance;52;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;9;no credits taken or all credits paid back duly;furniture or equipment;2697;unknown or no savings account;1 between 4 yrs; more than  35;male : married or widowed;none;1 between 4 yrs;unknown  or  no property;32;none;rent;1;skilled employee or official;3 or more;no;no;good
more than 200 DM or salary for at least 1 year;9;no credits taken or all credits paid back duly;others;2507;between 100 and 500 DM; more than  7 yrs;25 between 35;male : married or widowed;none; more than  7 yrs;real estate;51;none;own;1;unskilled - resident;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;15;existing credits paid back duly till now;furniture or equipment;1478;unknown or no savings account;1 between 4 yrs; less than  20;female : single;none;4 between 7 yrs;unknown  or  no property;33;bank;rent;3-Feb;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;12;all credits at this bank paid back duly;repairs;3565;more than 1000 DM; less than  1 yr;25 between 35;male : married or widowed;none; less than  1 yr;car or other;37;none;rent;3-Feb;unskilled - resident;3 or more;no;no;good
more than 200 DM or salary for at least 1 year;15;no credits taken or all credits paid back duly;car (used);2221;between 100 and 500 DM;1 between 4 yrs;25 between 35;female : non-single or male : single;none; more than  7 yrs;building soc. savings agr. or life insurance;20;none;for free;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;6;all credits at this bank paid back duly;furniture or equipment;1898;more than 1000 DM;1 between 4 yrs; more than  35;male : married or widowed;none;1 between 4 yrs;unknown  or  no property;34;none;rent;3-Feb;unskilled - resident;3 or more;no;no;good
less than 0 DM;6;existing credits paid back duly till now;retraining;1449;less than 100 DM; more than  7 yrs; more than  35;male : divorced or separated;none;1 between 4 yrs;building soc. savings agr. or life insurance;31;bank;rent;3-Feb;skilled employee or official;3 or more;no;no;good
more than 200 DM or salary for at least 1 year;15;existing credits paid back duly till now;car (used);960;500 between 1000 DM;4 between 7 yrs;20 between 25;female : non-single or male : single;none;1 between 4 yrs;car or other;30;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;36;no credits taken or all credits paid back duly;car (new);8133;unknown or no savings account;1 between 4 yrs; more than  35;female : non-single or male : single;none;1 between 4 yrs;car or other;30;bank;rent;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;9;no credits taken or all credits paid back duly;car (used);2301;less than 100 DM; less than  1 yr;25 between 35;female : non-single or male : single;none; more than  7 yrs;car or other;22;none;for free;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;6;existing credits paid back duly till now;retraining;1743;less than 100 DM;1 between 4 yrs; more than  35;male : married or widowed;none;1 between 4 yrs;unknown  or  no property;34;none;rent;3-Feb;unskilled - resident;0 to 2;no;no;good
less than 0 DM;12;no credits taken or all credits paid back duly;car (used);983;500 between 1000 DM; less than  1 yr; more than  35;female : non-single or male : single;none; more than  7 yrs;unknown  or  no property;19;none;for free;1;unskilled - resident;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;18;existing credits paid back duly till now;furniture or equipment;2320;unknown or no savings account;unemployed;25 between 35;female : single;none;4 between 7 yrs;unknown  or  no property;34;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;good
no checking account;12;critical account or other credits elsewhere;vacation;339;unknown or no savings account; more than  7 yrs; less than  20;female : single;none; less than  1 yr;building soc. savings agr. or life insurance;45;bank;rent;1;unskilled - resident;0 to 2;no;no;good
between 0 and 200 DM;24;no credits taken or all credits paid back duly;furniture or equipment;5152;unknown or no savings account;4 between 7 yrs; less than  20;male : married or widowed;none;1 between 4 yrs;building soc. savings agr. or life insurance;25;bank;rent;1;skilled employee or official;0 to 2;no;no;good
between 0 and 200 DM;24;no credits taken or all credits paid back duly;car (used);3749;unknown or no savings account; less than  1 yr;25 between 35;female : non-single or male : single;none; more than  7 yrs;building soc. savings agr. or life insurance;26;none;rent;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;9;all credits at this bank paid back duly;furniture or equipment;3074;more than 1000 DM;1 between 4 yrs; more than  35;male : married or widowed;none;1 between 4 yrs;unknown  or  no property;33;none;rent;3-Feb;skilled employee or official;3 or more;no;no;good
between 0 and 200 DM;9;no credits taken or all credits paid back duly;furniture or equipment;745;unknown or no savings account;1 between 4 yrs;20 between 25;female : non-single or male : single;none;1 between 4 yrs;unknown  or  no property;28;none;rent;1;unskilled - resident;0 to 2;no;no;bad
more than 200 DM or salary for at least 1 year;24;no credits taken or all credits paid back duly;others;1469;less than 100 DM; more than  7 yrs; less than  20;female : single;none; more than  7 yrs;unknown  or  no property;41;none;for free;1;unskilled - resident;0 to 2;no;no;good
no checking account;6;no credits taken or all credits paid back duly;car (used);1374;unknown or no savings account;1 between 4 yrs; more than  35;male : married or widowed;none;1 between 4 yrs;unknown  or  no property;36;bank;rent;1;unskilled - resident;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;6;critical account or other credits elsewhere;others;783;more than 1000 DM;1 between 4 yrs; more than  35;male : married or widowed;guarantor;1 between 4 yrs;unknown  or  no property;26;stores;rent;1;unskilled - resident;3 or more;no;no;good
no checking account;21;no credits taken or all credits paid back duly;furniture or equipment;2606;unknown or no savings account; less than  1 yr; less than  20;female : non-single or male : single;none; more than  7 yrs;car or other;28;none;for free;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;54;delay in paying off in the past;car (new);9436;more than 1000 DM;1 between 4 yrs;25 between 35;male : married or widowed;none;1 between 4 yrs;car or other;39;none;rent;1;unskilled - resident;3 or more;no;no;good
more than 200 DM or salary for at least 1 year;12;all credits at this bank paid back duly;furniture or equipment;930;more than 1000 DM; more than  7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;unknown  or  no property;65;none;rent; more than  6;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;48;all credits at this bank paid back duly;car (new);2751;more than 1000 DM; more than  7 yrs; less than  20;male : married or widowed;none;4 between 7 yrs;building soc. savings agr. or life insurance;38;none;rent;3-Feb;skilled employee or official;3 or more;yes;no;good
more than 200 DM or salary for at least 1 year;6;all credits at this bank paid back duly;others;250;500 between 1000 DM;1 between 4 yrs;25 between 35;female : non-single or male : single;none;1 between 4 yrs;unknown  or  no property;41;bank;rent;3-Feb;unskilled - resident;0 to 2;no;no;good
